Nombre;Categoria;Subcategoria;Color;Precio;Venta;Tallas;Referencia;Otros;
LONDON;Niño;Deportiva;blanco;35,99€;Si;32-33-36-37-38-39;48157-C19667;Material principal:Sintetico$Altura:3.40 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
BONZA;Niño;Deportivas;plata;33,50€;Si;33-34-37-38-39;48145-C43675;Material principal:Sintetico$Altura:2 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:Sintético$Tipo de puntera:Redonda;
ALICE;Niño;Deportiva;azul;33,50€;Si;30;69118-C47641;Material principal:Sintetico$Altura:2 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones-Velcro$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
KOJIMA;Niño;Deportivas;kaki;35,99€;Si;31-32-33-34-36-38;47903-C47534;Material principal:Sintetico$Altura:2.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
CASTY;Niño;Deportiva;verde;35,99€;Si;32-33-34-35-38-39;47971-C50157;Material principal:Sintetico$Altura:2 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
ALASKA;Niño;Zapato;burdeos;35,90€;Si;36-37-38;47399-C36534;Material principal:Sintetico;
RAPSO;Niño;Depotiva;camel;34,50€;Si;30-31-32;47696AT-C42915;Material principal:Sintetico$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
RAPSO;Niño;Deportiva;azul;34,50€;Si;29-30-31-32;47696AT-C42914;Material principal:Sintetico$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
TAXI;Niño;Deportiva;azul;35,99€;Si;32-33-34-35-36-38-39;48134-C50209;Material principal:Sintetico$Altura:1.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
ANGIE;Niño;Deportiva;nude;35,99€;Si;37-39;48154-C50149;Material principal:Sintetico$Altura:3 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
GASIA;Niño;Deportivos;blanco;33,50€;Si;33-34-35-36-37-38-39;48143-C45310;Material principal:Sintetico$Altura:1 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
NINA;Niño;BOTÍN;azul;45,99€;Si;25-26-34;47835-C47834;Material principal:Piel$Altura:2 cm$Material de la suela:Sintética$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja;
NANA;Niño;Botín;azul;45,99€;Si;25-26-33-34;47840-C37213;Material principal:Piel$Altura:2.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media;
VENUS;Niño;Botín;marron;39,99€;Si;31-32-35-36-37-38;48077-C27928;Material principal:Sintetico$Altura:2.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
de niña TINA;Niño;Botín;negro;49,99€;Si;32-33-35-38;47849-C30659;Material principal:Piel$Altura:2.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja;
DRIZZY;Niño;Deportiva;blanco;35,99€;Si;32-33-34-35-36-37-38-39;47967-C50162;Material principal:Sintetico$Altura:3 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
DRIZZY;Niño;Deportiva;negro;35,99€;Si;32-33-34-35-36-37-38-39;47967-C50163;Material principal:Sintetico$Altura:3 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
MONDA;Niño;Deportiva;oro;35,99€;Si;25-28-29-30-31-32;48151-C50206;Material principal:Sintetico$Altura:2 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
