Nombre;Categoria;Subcategoria;Color;Precio;Venta;Tallas;Referencia;Otros;
SCORPIUS;Mujer;Botín;taupe;49,90€;Si;36-37-38-39-40-41;58647-C48993;Material principal:Sintetico$Altura:8 cm$Material de la suela:De goma$Tipo de tacón:Vaquero$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media;
SABA;Mujer;Botín;marron;45,90€;Si;36-37-38-39-40-41;58660-C50076;Material principal:Sintetico$Altura:8 cm$Material de la suela:Caucho$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja;
SYRA;Mujer;Botín;verde;89,90€;Si;36-37-38-39-40-41;50347-C47010;Material principal:Piel$Altura:8 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Baja;
CATIO;Mujer;Botín;marron;89,90€;Si;36-37-38-39-40-41;50331-C6047;Material principal:Piel$Altura:5 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Redonda$Tipo de caña:Baja;
CATIO;Mujer;Botín;negro;89,90€;Si;36-37-38-39-40;50331-C49742;Material principal:Piel$Altura:5 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Redonda$Tipo de caña:Baja;
RIANA;Mujer;Bota;verde;55,90€;Si;37;50172-C50089;Material principal:Sintetico$Altura:7.50 cm$Material de la suela:Sintética$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Alta;
bandolera BLED;Mujer;Bolso;burdeos;29,99€;Si;OS;BLED-C43151;Material principal:Sintetico$Base:25$Altura:17.50 cm$Ancho:5.50;
CENTI;Mujer;Zueco;cuero;59,90€;Si;36-37-38-39-40;50378-C49890;Material principal:Piel$Altura:5.50 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada;
de lona;Mujer;Deportiva;blanco;23,99€;Si;36-37-38-39;13991-I222;Material principal:Textil$Altura:2 cm;
de lona 13991;Mujer;Deportiva;negro;23,99€;Si;36-37-38-40;13991-C20462;Material principal:Textil$Altura:2 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:Textil$Tipo de puntera:Redonda;
