;Nombre;Categoria;Subcategoria;Color;Precio;Venta;Tallas;Referencia;Otros
253;SETENTA;Mujer;BOTAS;negro;59,90€;Si;41;58804-C47176;Material principal:Sintetico$Altura:10 cm$Material de la suela:Sintética$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Alta
254;WESTER;Mujer;BOTINES;negro;89,90€;Si;37-38-39-40-41;50341-C49742;Material principal:Piel$Altura:8 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Elástico$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Baja
255;PASS;Mujer;BOTINES;negro;39,99€;Si;40-41;58853-C35442;Material principal:Sintetico$Altura:5 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Elástico$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja
256;SABA;Mujer;BOTINES;negro;45,90€;Si;36-37-38-39-40-41;58660-C49874;Material principal:Sintetico$Altura:8 cm$Material de la suela:Caucho$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja
257;LANA;Mujer;DEPORTIVAS;blanco;49,90€;Si;41;69557-C19667;Material principal:Sintetico$Altura:5 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda
258;BEGO;Mujer;BOTINES;negro;55,90€;Si;37-38-39-40;58243-C50055;Material principal:Sintetico$Altura:6 cm$Material de la suela:Sintética$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja
259;NISS;Mujer;BOTINES;negro;55,90€;Si;36-37-38-39-40-41;50309-C14596;Material principal:Sintetico$Altura:6 cm$Material de la suela:Sintética$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
260;NEW CLODE;Mujer;BOTINES;marron;49,90€;Si;36-37-39;58440-C50037;Material principal:Sintetico$Altura:5 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Afilada$Tipo de caña:Baja
261;LISON;Mujer;BOTINES;negro;55,90€;Si;36-37-38-39-40-41;58597-C50061;Material principal:Sintetico$Altura:5 cm$Material de la suela:Sintética$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
262;NOW PALAS;Mujer;BOTINES;taupe;49,90€;Si;36-38-39-40;58644-C50059;Material principal:Sintetico$Altura:7 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja
263;NOW PALAS;Mujer;BOTINES;marron;49,90€;Si;36-37-38-39-40-41;58644-C50144;Material principal:Sintetico$Altura:7 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja
264;MANA;Mujer;ZAPATOS;negro;39,99€;Si;41;58731-C47168;Altura:7.50 cm
265;GLASI;Mujer;ZAPATOS;beige;45,90€;Si;37-38-39-40-41;58574-C50059;Material principal:Sintetico$Altura:7 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda
266;SAGITTA;Mujer;BOTINES;negro;49,90€;Si;36-37-38-39-40-41;58708-C50055;Material principal:Sintetico$Altura:4.50 cm$Material de la suela:Caucho$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
267;GLASS;Mujer;ZAPATOS;negro;45,99€;Si;40;58563-C35442;Material principal:Textil$Altura:6.50 cm$Material de la suela:Caucho$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda
268;PANA;Mujer;ZAPATOS;negro;35,99€;Si;36-37-38-40;58854-C47168;Material principal:Sintetico$Altura:6 cm$Material de la suela:Caucho$Tipo de tacón:Bloque$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda
269;CENTI;Mujer;ZUECO;cuero;59,90€;Si;36-37-38-39;50378-C47011;Material principal:Piel$Altura:5.50 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada
270;Oxford MILA;Mujer;ZAPATOS;gris;42,99€;Si;36-37-38;57408-C42791;Material principal:Sintetico$Altura:6 cm
271;NAO;Mujer;ZAPATOS;negro;45,99€;Si;40-41;58575-C47176;Material principal:Sintetico$Altura:6 cm$Material de la suela:Caucho$Tipo de tacón:Bloque$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda
272;CIRCE;Mujer;ZAPATOS;negro;39,99€;Si;41;58629-C47168;Material principal:Sintetico$Altura:5 cm$Material de la suela:Caucho$Tipo de tacón:Bloque$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda
273;SNOWY;Mujer;BOTINES;marron;39,90€;Si;36-37-38-39-40-41;50081-C27928;Material principal:Sintetico$Altura:2 cm$Material de la suela:Sintética$Tipo de tacón:Plano$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Pelo$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
274;SNOWY;Mujer;BOTINES;taupe;39,90€;Si;36-37-38-39-40-41;50081-C28595;Material principal:Sintetico$Altura:2 cm$Material de la suela:Sintética$Tipo de tacón:Plano$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Pelo$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
275;SNOWY;Mujer;BOTINES;negro;39,90€;Si;36-37-38-39-40-41;50081-C27784;Material principal:Sintetico$Altura:2 cm$Material de la suela:Sintética$Tipo de tacón:Plano$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Pelo$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
276;CAMPA;Mujer;BOTINES;marron;49,90€;Si;36-39-40;50354-C27834;Material principal:Textil$Altura:3.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Pelo$Material de la planta:Sintético$Tipo de puntera:Abierta$Tipo de caña:Media
277;CAMPA;Mujer;BOTINES;negro;49,90€;Si;36-37-38-39-40-41;50354-C27784;Material principal:Textil$Altura:3.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Pelo$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
278;NEW SCHOOL;Mujer;BOTINES;marron;49,90€;Si;36-37-38-39-40-41;50019-C50069;Material principal:Sintetico$Altura:3 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Pelo$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
279;NEW SCHOOL;Mujer;BOTINES;negro;49,90€;Si;36-37-38-39-40-41;50019-C50071;Material principal:Sintetico$Altura:3 cm$Material de la suela:De goma$Tipo de tacón:Plataforma$Tipo de cierre:Cordones$Material del interior:Pelo$Material de la planta:Goma$Tipo de puntera:Redonda$Tipo de caña:Media
280;NEW SCHOOL;Mujer;BOTINES;taupe;49,90€;Si;36-37-38-39-40-41;50019-C50070;Material principal:Sintetico$Altura:3 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Pelo$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
281;NENTA;Mujer;BOTINES;marron;89,90€;Si;36-37-38-39-40-41;50318-C49743;Material principal:Piel$Altura:5.50 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Baja
282;MIRTA;Mujer;BOTINES;beige;49,90€;Si;36-37-38-39-40-41;58336-C50068;Material principal:Sintetico$Altura:2 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Pelo$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja
283;GLAMSA;Mujer;BOTINES;taupe;49,90€;Si;36-37-39-40-41;58571-C50059;Material principal:Sintetico$Altura:7 cm$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja
284;SCORPIUS;Mujer;BOTINES;taupe;49,90€;Si;36-37-38-39-40-41;58647-C48993;Material principal:Sintetico$Altura:8 cm$Material de la suela:De goma$Tipo de tacón:Vaquero$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
285;SABA;Mujer;BOTINES;marron;45,90€;Si;36-37-38-39-40-41;58660-C50076;Material principal:Sintetico$Altura:8 cm$Material de la suela:Caucho$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja
286;SYRA;Mujer;BOTINES;verde;89,90€;Si;36-37-38-39-40-41;50347-C47010;Material principal:Piel$Altura:8 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Baja
287;CATIO;Mujer;BOTINES;marron;89,90€;Si;36-37-38-39-40-41;50331-C6047;Material principal:Piel$Altura:5 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Redonda$Tipo de caña:Baja
288;CATIO;Mujer;BOTINES;negro;89,90€;Si;36-37-38-39-40;50331-C49742;Material principal:Piel$Altura:5 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Redonda$Tipo de caña:Baja
289;RIANA;Mujer;BOTAS;verde;55,90€;Si;37;50172-C50089;Material principal:Sintetico$Altura:7.50 cm$Material de la suela:Sintética$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Alta
290;bandolera BLED;Mujer;BOLSO;burdeos;29,99€;Si;OS;BLED-C43151;Material principal:Sintetico$Base:25$Altura:17.50 cm$Ancho:5.50
291;CENTI;Mujer;ZUECO;cuero;59,90€;Si;36-37-38-39-40;50378-C49890;Material principal:Piel$Altura:5.50 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada
292;de lona;Mujer;DEPORTIVAS;blanco;23,99€;Si;36-37-38-39-41;13991-I222;Material principal:Textil$Altura:2 cm
293;de lona 13991;Mujer;DEPORTIVAS;negro;23,99€;Si;36-37-38-40;13991-C20462;Material principal:Textil$Altura:2 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:Textil$Tipo de puntera:Redonda
294;NEW PALAS;Mujer;BOTAS;negro;55,90€;Si;36-37-38-39-40-41;50275-C27784;Material principal:Sintetico$Forro:Textil$Altura:7 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Afilada$Tipo de caña:Media
295;NEW PALAS;Mujer;BOTINES;taupe;55,90€;Si;36-37-38-39-40;50275-C28595;Material principal:Sintetico$Forro:Textil$Altura:7 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Afilada$Tipo de caña:Media
296;NEW PALAS;Mujer;BOTINES;negro;49,90€;Si;36-37-38-39-40;50276-C27784;Material principal:Textil$Altura:7 cm$Material de la suela:De goma$Tipo de tacón:Ancho$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja
297;NEW PALAS;Mujer;BOTINES;marron;49,90€;Si;36-37-38-39-40-41;50276-C27834;Material principal:Textil$Altura:7 cm$Material de la suela:Sintética$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
298;LEO;Mujer;DEPORTIVAS;marron;39,90€;Si;38;69441-034103;Material principal:Sintetico$Altura:2.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:FOAM$Tipo de puntera:Redonda
